sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	run.accession
EA18-0225	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438066
EA18-0227	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9437995
EA18-0229	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9437996
EA18-0230	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9437997
EA18-0233	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9437998
EA18-0234	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9437999
EA18-0235	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438000
EA18-0236	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438001
EA18-0237	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438002
EA18-0239	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438003
EA18-0240	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438004
EA18-0241	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438005
EA18-0242	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438006
EA18-0243	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438007
EA18-0244	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438008
EA18-0245	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438009
EA18-0246	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438010
EA18-0247	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438011
EA18-0249	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438012
EA18-0250	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438013
EA18-0251	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438014
EA18-0252	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438015
EA18-0253	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438016
EA18-0255	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438017
EA18-0257	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438018
EA18-0258	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438163
EA18-0259	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438164
EA18-0260	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438165
EA18-0261	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438166
EA18-0262	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438167
EA18-0263	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438168
EA18-0264	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438169
EA18-0266	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438170
EA18-0268	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438172
EA18-0271	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438174
EA18-0272	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438175
EA18-0273	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438176
EA18-0274	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438177
EA18-0275	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438178
EA18-0276	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438179
EA18-0277	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438180
EA18-0278	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438181
EA18-0279	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438182
EA18-0280	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438183
EA18-0281	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438184
EA18-0283	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438185
EA18-0284	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438186
EA18-0285	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438259
EA18-0286	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438260
EA18-0287	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438261
EA18-0289	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438262
EA18-0294	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438263
EA18-0295	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438264
EA18-0296	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438265
