sample_id	run_ena	irods_path	bam_path	cram_path	read1_path	read2_path
VBS54980-6781STDY12150097	ERR9438105	/seq/illumina/runs/44/44090/lane2/plex3/44090_2#3.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438105/ERR9438105_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438105/ERR9438105_2.fastq.gz
VBS54982-6781STDY12150098	ERR9438106	/seq/illumina/runs/44/44090/lane2/plex4/44090_2#4.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438106/ERR9438106_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438106/ERR9438106_2.fastq.gz
VBS54984-6781STDY12150100	ERR9438107	/seq/illumina/runs/44/44090/lane2/plex5/44090_2#5.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438107/ERR9438107_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438107/ERR9438107_2.fastq.gz
VBS54987-6781STDY12150103	ERR9438108	/seq/illumina/runs/44/44090/lane2/plex6/44090_2#6.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438108/ERR9438108_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438108/ERR9438108_2.fastq.gz
VBS54990-6781STDY12150106	ERR9438109	/seq/illumina/runs/44/44090/lane2/plex7/44090_2#7.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438109/ERR9438109_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438109/ERR9438109_2.fastq.gz
VBS54992-6781STDY12150108	ERR9438110	/seq/illumina/runs/44/44090/lane2/plex8/44090_2#8.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438110/ERR9438110_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438110/ERR9438110_2.fastq.gz
VBS54993-6781STDY12150109	ERR9438111	/seq/illumina/runs/44/44090/lane2/plex9/44090_2#9.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438111/ERR9438111_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438111/ERR9438111_2.fastq.gz
VBS54994-6781STDY12150110	ERR9438112	/seq/illumina/runs/44/44090/lane2/plex10/44090_2#10.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438112/ERR9438112_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438112/ERR9438112_2.fastq.gz
VBS54995-6781STDY12150113	ERR9438113	/seq/illumina/runs/44/44090/lane2/plex11/44090_2#11.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438113/ERR9438113_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438113/ERR9438113_2.fastq.gz
VBS54996-6781STDY12150114	ERR9438114	/seq/illumina/runs/44/44090/lane2/plex12/44090_2#12.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438114/ERR9438114_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438114/ERR9438114_2.fastq.gz
