EA18-0078	Tanzania	Moshi	VBS54956	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438132	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438132/ERR9438132_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438132/ERR9438132_2.fastq.gz
EA18-0080	Tanzania	Moshi	VBS54958	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438133	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438133/ERR9438133_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438133/ERR9438133_2.fastq.gz
EA18-0081	Tanzania	Moshi	VBS54959	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438134	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438134/ERR9438134_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438134/ERR9438134_2.fastq.gz
EA18-0083	Tanzania	Moshi	VBS54961	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438135	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438135/ERR9438135_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438135/ERR9438135_2.fastq.gz
EA18-0084	Tanzania	Moshi	VBS54962	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438136	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438136/ERR9438136_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438136/ERR9438136_2.fastq.gz
EA18-0085	Tanzania	Moshi	VBS54963	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438137	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438137/ERR9438137_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438137/ERR9438137_2.fastq.gz
EA18-0086	Tanzania	Moshi	VBS54964	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438138/ERR9438138_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438138/ERR9438138_2.fastq.gz
EA18-0087	Tanzania	Moshi	VBS54965	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438115	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438115/ERR9438115_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438115/ERR9438115_2.fastq.gz
EA18-0088	Tanzania	Moshi	VBS54966	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438116	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438116/ERR9438116_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438116/ERR9438116_2.fastq.gz
EA18-0089	Tanzania	Moshi	VBS54967	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438117	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438117/ERR9438117_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438117/ERR9438117_2.fastq.gz
EA18-0090	Tanzania	Moshi	VBS54968	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438118	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438118/ERR9438118_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438118/ERR9438118_2.fastq.gz
EA18-0091	Tanzania	Moshi	VBS54969	20/02/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438119	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438119/ERR9438119_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438119/ERR9438119_2.fastq.gz
